title,description
b1,"Data PreparationText Data Mining For Business Decisions Module 3 Data Preparation Data Scraping, Cleaning and Annotating"
b2,"Data Preparation and the CRISP-DM Processbusiness understanding, data understanding, data preparation, modeling, evaluation, deployemet, data"
b3,"Acquiring, cleaning and organizing data takes up 80% of time of an analyst’s timeWhat does this mean? What do data scientists spend most of their time doing? Building trainning sets 3%, refining algorithms 4%, other 5%, mining data for parents 9%, collecting data sets 19%, cleaning and organizing data 60% The more tools you know and the cleverer you are in shaping a data set the sooner to get to analysis."
b4,"The Data Cleaning Cycleimport data, merge data sets, standardize, normalize, rebuild missing data, de-duplicate, verify and enrich, export data, the data cleansing cycle"
b5,"Where does data preparation fit in the world of the analyst? Context Industry Executives KPIS Business Model Operational or Strategic Situation; Business;  Information Need Jobs-to-be-done Binary Issue Gaps Performance Need for operational or strategic information;Ask, Framed Questions SMART Specific Measurable Achievable Realistic Time-bound Analytical Question 1 Analytical Question 2 Analytical Question 3 Frame, Data Analysis Data Business Intelligence Analytics Data Mining Data Analvsis Analvsis Analysis Data Analvsis Analvsis Analysis Data Analvsis Analvsis Analysis Discover, Hypothesis Testing T-test Chi-Square A/B Testing For sure? For sure? For sure? Assure, Conclude and Recommend Dashboards Presentations Data Visuals Models Fact Fact Fact Action Business rule changes Present"
b6,"The World of Data and VariablesTwo kinds of data, four kinds of variables, Free Text  Customer opinions Survey text responses Word frequency, keywords, similarity Categorical Nomínal Cities Stores Gender Color Product Ordinal Years Months Ratings Likert Scale College level Age Summarize by counting, tabulate, frequency, Numeric {2.27,3.56.67.8} decimal {1,2,3,4,5} integer Likert Scale Age You can do math, apply formulas, summarize Numeric Date 11/12/21 as a date 48280.23 as a number Date Math on dates to get differences in months, minutes, etc."
b7,Where are Variables Defined?• Datatablesshouldcomewithinformationaboutthevariablesandthe nature of the rows of data – it is called metadata (data about the data) • Thedefinitionsareinatableorseparatedocumentcalledthedata dictionary • Itshouldbeconsultedwhendoingdatacleaning-itgivestherangesand possible values
b8,Example Data Dictionary• The data file with survey responses for the San Francisco passenger survey has a typical associated data dictionary – https://www.flysfo.com/media/customer- survey-data • The data dictionary can be found in one of the tabs in the Excel data set
b9,Digital Encoding of Data• Words and number storage in a digital computer • Digital computer stores and manipulate data as 0’s and 1’s – 001101001000111001111001010001000100 • Must encode language and expressions into sequence of zeros and ones • Digital Codes – What are some early examples of encoding of language for storage and transmission? – https://www.w3.org/International/questions/qa-what-is-encoding
b10,"Character Encoding• If you use anything other than the most basic English text, people may not be able to read the content you create unless you declare what character encoding you used. • For example, you may intend the text to look like this: • but it may actually display like this:"
b11,"Character Encoding Schemes• Words and sentences in text are created from characters. Examples of characters include the Latin letter á or the Chinese ideograph or the Devanagari character • Characters that are needed for a specific purpose are grouped into a character set . • To refer to characters in an unambiguous way, each character is associated with a number, called a code point. • The characters are stored in the computer as one or more byte"
b12,"Early Form of Encoding: Morse CodeMorse code is a method of transmitting text information as a series of on-off tones, lights, or clicks that can be directly understood by a skilled listener or observer without special equipment."
